🕘️更新时间,#genre#
2026-06-18 18:12:11,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u

📺央视频道,#genre#
CCTV-1,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-2,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-5,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-5+,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-6,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV-7,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-10,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-16,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CETV-1,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CETV-2,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CETV-3,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CETV-4,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u

📡卫视频道,#genre#
广东卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
香港卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
浙江卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
湖南卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
北京卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
湖北卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
黑龙江卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
安徽卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
重庆卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
东方卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
东南卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
甘肃卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广西卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
贵州卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
海南卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
河北卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
河南卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
吉林卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
江苏卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
江西卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
辽宁卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
内蒙古卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
宁夏卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
青海卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
山东卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
山西卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
陕西卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
四川卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
深圳卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
三沙卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
天津卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
西藏卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
新疆卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
云南卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u

☘️广东频道,#genre#
广东珠江,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广东体育,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广东新闻,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广东卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广东民生,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
大湾区卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广州综合,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广州影视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
广州竞赛,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
江门综合,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
江门侨乡生活,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
佛山综合,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
深圳卫视,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
汕头综合,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
汕头经济,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
汕头文旅,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
茂名综合,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
茂名公共,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
